Skill
Python
Java
JavaScript
SQL
MySQL
MongoDB
Machine Learning
Deep Learning
TensorFlow
PyTorch
Pandas
NumPy
Power BI
Tableau
Excel
Git
GitHub
Streamlit
VS Code
